# Enemy definitions, including per-node pools and boss entries.
# nodeId|id|type|name|strength|magic|agility|statDropChance|statDropMin|statDropMax|itemDropChance|itemDropId
# type is MONSTER or BOSS. "-" means no value (0 for numeric fields, null for itemDropId).
village|slime|MONSTER|Slime|4|2|1|0.6|1|2|0.15|-
village|bandit|MONSTER|Bandit|6|3|3|0.6|1|2|0.15|-
village|wolf|MONSTER|Dire Wolf|5|5|6|0.6|1|2|0.15|-
village|village_boss|BOSS|Village Chieftain|20|12|8|1.0|2|3|-|-

forest|slime|MONSTER|Slime|8|4|2|0.6|1|2|0.15|-
forest|bandit|MONSTER|Bandit|12|6|6|0.6|1|2|0.15|-
forest|wolf|MONSTER|Dire Wolf|24|10|12|0.6|1|2|0.15|-
forest|forest_boss|BOSS|Forest Guardian|25|35|15|1.0|2|3|-|-

cave|slime|MONSTER|Slime|16|8|4|0.6|1|2|0.15|-
cave|bandit|MONSTER|Bandit|24|12|12|0.6|1|2|0.15|-
cave|wolf|MONSTER|Dire Wolf|48|20|24|0.6|1|2|0.15|-
cave|cave_boss|BOSS|Cave Dweller|60|60|25|1.0|2|3|-|-
